COMMON GENE_ID,CD274 29126
TCGA-BF-A1PU-01,-0.3677
TCGA-BF-A1PV-01,-0.3610
TCGA-BF-A1PX-01,-0.0839
TCGA-BF-A1PZ-01,-0.3046
TCGA-BF-A1Q0-01,0.4540
TCGA-D3-A1Q1-06,-0.3597
TCGA-D3-A1Q3-06,-0.1779
TCGA-D3-A1Q4-06,-0.3300
TCGA-D3-A1Q5-06,-0.3661
TCGA-D3-A1Q6-06,-0.3521
TCGA-D3-A1Q7-06,0.4389
TCGA-D3-A1Q8-06,-0.3633
TCGA-D3-A1Q9-06,0.0479
TCGA-D3-A1QA-06,0.0833
TCGA-D3-A1QA-07,-0.3133
TCGA-D3-A1QB-06,0.0585
TCGA-D3-A2J6-06,-0.2847
TCGA-D3-A2J7-06,-0.0204
TCGA-D3-A2J8-06,1.0735
TCGA-D3-A2J9-06,0.0766
TCGA-D3-A2JA-06,-0.0704
TCGA-D3-A2JB-06,-0.2754
TCGA-D3-A2JC-06,-0.1026
TCGA-D3-A2JD-06,-0.3225
TCGA-D3-A2JF-06,-0.1320
TCGA-D3-A2JG-06,-0.3463
TCGA-D3-A2JH-06,-0.0045
TCGA-D3-A2JK-06,-0.3665
TCGA-D3-A2JL-06,-0.2745
TCGA-D3-A2JN-06,-0.3608
TCGA-D3-A2JO-06,0.1630
TCGA-D3-A2JP-06,-0.3268
TCGA-D3-A3BZ-06,-0.1862
TCGA-D3-A3C1-06,-0.3423
TCGA-D3-A3C3-06,-0.3344
TCGA-D3-A3C6-06,-0.3647
TCGA-D3-A3C7-06,-0.3529
TCGA-D3-A3C8-06,0.7251
TCGA-D3-A3CB-06,8.9769
TCGA-D3-A3CC-06,-0.3706
TCGA-D3-A3CE-06,-0.1586
TCGA-D3-A3CF-06,-0.2636
TCGA-D9-A148-06,-0.0184
TCGA-D9-A149-06,-0.1677
TCGA-D9-A1JW-06,-0.0942
TCGA-D9-A1JX-06,-0.2044
TCGA-D9-A1X3-06,-0.3577
TCGA-DA-A1HV-06,-0.1828
TCGA-DA-A1HW-06,-0.0264
TCGA-DA-A1HY-06,-0.2333
TCGA-DA-A1I1-06,-0.0071
TCGA-DA-A1I2-06,-0.2617
TCGA-DA-A1I4-06,-0.2638
TCGA-DA-A1I5-06,0.2069
TCGA-DA-A1I7-06,-0.3457
TCGA-DA-A1I8-06,-0.3443
TCGA-DA-A1IA-06,-0.2904
TCGA-DA-A1IB-06,0.0338
TCGA-DA-A1IC-06,-0.2146
TCGA-EB-A1NK-01,-0.3386
TCGA-EB-A24C-01,-0.3483
TCGA-EB-A24D-01,-0.3353
TCGA-EB-A299-01,-0.3377
TCGA-EE-A17X-06,-0.3302
TCGA-EE-A17Y-06,-0.3688
TCGA-EE-A17Z-06,-0.3753
TCGA-EE-A181-06,-0.0723
TCGA-EE-A182-06,-0.3551
TCGA-EE-A183-06,-0.2819
TCGA-EE-A184-06,-0.2177
TCGA-EE-A185-06,-0.3686
TCGA-EE-A20B-06,-0.3275
TCGA-EE-A20C-06,-0.2715
TCGA-EE-A20F-06,-0.2696
TCGA-EE-A20H-06,-0.3644
TCGA-EE-A20I-06,-0.1725
TCGA-EE-A29A-06,-0.2888
TCGA-EE-A29B-06,-0.3379
TCGA-EE-A29C-06,-0.3301
TCGA-EE-A29D-06,-0.3229
TCGA-EE-A29E-06,-0.3807
TCGA-EE-A29G-06,-0.3245
TCGA-EE-A29H-06,-0.2527
TCGA-EE-A29L-06,-0.3621
TCGA-EE-A29M-06,-0.1116
TCGA-EE-A29N-06,-0.0231
TCGA-EE-A29P-06,-0.0603
TCGA-EE-A29Q-06,-0.2958
TCGA-EE-A29R-06,-0.3571
TCGA-EE-A29S-06,-0.3176
TCGA-EE-A29T-06,-0.0325
TCGA-EE-A29V-06,-0.3220
TCGA-EE-A29W-06,-0.3781
TCGA-EE-A29X-06,-0.0568
TCGA-EE-A2A0-06,-0.1830
TCGA-EE-A2A1-06,-0.0038
TCGA-EE-A2A2-06,-0.2602
TCGA-EE-A2A5-06,-0.3448
TCGA-EE-A2A6-06,-0.2221
TCGA-EE-A2GB-06,-0.3100
TCGA-EE-A2GC-06,-0.1410
TCGA-EE-A2GD-06,-0.2045
TCGA-EE-A2GE-06,-0.0156
TCGA-EE-A2GH-06,-0.2660
TCGA-EE-A2GI-06,-0.2134
TCGA-EE-A2GJ-06,-0.1575
TCGA-EE-A2GK-06,-0.2594
TCGA-EE-A2GL-06,-0.2270
TCGA-EE-A2GM-06,-0.3135
TCGA-EE-A2GN-06,-0.3493
TCGA-EE-A2GO-06,-0.3027
TCGA-EE-A2GP-06,-0.2249
TCGA-EE-A2GR-06,-0.3807
TCGA-EE-A2GS-06,-0.3014
TCGA-EE-A2GT-06,-0.3398
TCGA-EE-A2GU-06,-0.0875
TCGA-EE-A2M5-06,2.3548
TCGA-EE-A2M6-06,-0.3211
TCGA-EE-A2M7-06,-0.3371
TCGA-EE-A2M8-06,0.2724
TCGA-EE-A2MC-06,0.1699
TCGA-EE-A2MD-06,-0.2988
TCGA-EE-A2ME-06,0.1450
TCGA-EE-A2MG-06,-0.1832
TCGA-EE-A2MH-06,-0.3219
TCGA-EE-A2MI-06,-0.1185
TCGA-EE-A2MJ-06,-0.0458
TCGA-EE-A2MK-06,-0.0083
TCGA-EE-A2ML-06,-0.0431
TCGA-EE-A2MM-06,-0.2953
TCGA-EE-A2MN-06,-0.2254
TCGA-EE-A2MP-06,-0.2324
TCGA-EE-A2MQ-06,-0.1389
TCGA-EE-A2MR-06,1.0092
TCGA-EE-A2MS-06,-0.3223
TCGA-EE-A2MT-06,-0.3056
TCGA-EE-A2MU-06,0.1556
TCGA-EE-A3AA-06,-0.2480
TCGA-EE-A3AB-06,-0.3403
TCGA-EE-A3AC-06,-0.1714
TCGA-EE-A3AD-06,-0.3513
TCGA-EE-A3AE-06,-0.1064
TCGA-EE-A3AF-06,-0.3144
TCGA-EE-A3AG-06,-0.3744
TCGA-EE-A3AH-06,-0.3414
TCGA-ER-A193-06,0.5092
TCGA-ER-A194-01,-0.3317
TCGA-ER-A195-06,-0.1465
TCGA-ER-A196-01,-0.2353
TCGA-ER-A197-06,-0.2421
TCGA-ER-A198-06,-0.2383
TCGA-ER-A199-06,-0.1465
TCGA-ER-A19A-06,0.4525
TCGA-ER-A19B-06,-0.2549
TCGA-ER-A19C-06,-0.3321
TCGA-ER-A19D-06,-0.3102
TCGA-ER-A19E-06,-0.3530
TCGA-ER-A19F-06,-0.3534
TCGA-ER-A19G-06,0.6186
TCGA-ER-A19H-06,-0.2569
TCGA-ER-A19J-06,-0.2679
TCGA-ER-A19K-01,-0.2104
TCGA-ER-A19L-06,-0.3326
TCGA-ER-A19N-06,-0.1270
TCGA-ER-A19O-06,-0.3157
TCGA-ER-A19P-06,0.0769
TCGA-ER-A19Q-06,-0.0972
TCGA-ER-A19S-06,0.3335
TCGA-ER-A19T-01,-0.3742
TCGA-ER-A19T-06,-0.3673
TCGA-ER-A1A1-06,-0.1436
TCGA-ER-A2NB-01,-0.3171
TCGA-ER-A2NC-06,0.0509
TCGA-ER-A2ND-06,-0.3412
TCGA-ER-A2NE-06,-0.3534
TCGA-ER-A2NF-01,-0.1912
TCGA-ER-A2NF-06,-0.1227
TCGA-ER-A2NG-06,0.3194
TCGA-ER-A2NH-06,0.1885
TCGA-FS-A1YW-06,-0.3193
TCGA-FS-A1YX-06,-0.3525
TCGA-FS-A1YY-06,-0.3554
TCGA-FS-A1Z0-06,-0.1297
TCGA-FS-A1Z3-06,-0.3417
TCGA-FS-A1Z4-06,-0.1881
TCGA-FS-A1Z7-06,-0.3493
TCGA-FS-A1ZA-06,-0.2478
TCGA-FS-A1ZB-06,-0.3238
TCGA-FS-A1ZC-06,-0.3752
TCGA-FS-A1ZD-06,-0.3607
TCGA-FS-A1ZE-06,-0.3746
TCGA-FS-A1ZF-06,-0.3157
TCGA-FS-A1ZG-06,-0.3667
TCGA-FS-A1ZH-06,-0.2378
TCGA-FS-A1ZJ-06,-0.3582
TCGA-FS-A1ZK-06,-0.3507
TCGA-FS-A1ZM-06,-0.2583
TCGA-FS-A1ZN-01,-0.2690
TCGA-FS-A1ZP-06,-0.1881
TCGA-FS-A1ZQ-06,-0.3034
TCGA-FS-A1ZR-06,-0.2713
TCGA-FS-A1ZS-06,-0.3024
TCGA-FS-A1ZT-06,0.0168
