GENE_ID 29126 COMMON,CD274
TCGA-05-4384-01,-0.5550
TCGA-05-4390-01,-0.4546
TCGA-05-4425-01,-0.0861
TCGA-38-4631-01,-0.6363
TCGA-38-4632-01,-0.0419
TCGA-38-6178-01,-0.6123
TCGA-44-6145-01,0.3221
TCGA-44-6146-01,-0.5806
TCGA-44-6147-01,-0.6116
TCGA-44-6148-01,-0.5035
TCGA-49-4488-01,-0.2482
TCGA-50-5930-01,-0.5395
TCGA-50-5931-01,-0.6683
TCGA-50-5932-01,-0.5992
TCGA-50-5933-01,1.6280
TCGA-50-5935-01,-0.4894
TCGA-50-5941-01,0.1944
TCGA-50-5942-01,-0.5568
TCGA-50-5944-01,-0.5498
TCGA-50-5946-01,-0.5717
TCGA-50-6591-01,-0.6752
TCGA-50-6592-01,-0.3273
TCGA-50-6593-01,-0.1564
TCGA-50-6594-01,6.6527
TCGA-55-6543-01,-0.1977
TCGA-67-4679-01,-0.3848
TCGA-67-6215-01,-0.5764
TCGA-67-6216-01,-0.2188
TCGA-67-6217-01,-0.4384
TCGA-73-4658-01,1.6764
TCGA-73-4676-01,0.0576
TCGA-75-5122-01,1.5207
TCGA-75-5125-01,4.2276
TCGA-75-5126-01,3.9603
TCGA-75-6203-01,-0.3010
TCGA-75-6205-01,0.3350
TCGA-75-6206-01,-0.5646
TCGA-75-6207-01,2.0886
TCGA-75-6211-01,-0.6143
TCGA-75-6212-01,-0.4770
TCGA-86-6562-01,-0.3793
TCGA-05-4396-01,-0.5945
TCGA-05-4405-01,-0.3450
TCGA-05-4410-01,-0.2225
TCGA-05-4415-01,-0.4181
TCGA-05-4417-01,-0.3454
TCGA-05-4424-01,-0.5102
TCGA-05-4427-01,0.6042
TCGA-05-4433-01,-0.4489
TCGA-44-6774-01,-0.4922
TCGA-44-6775-01,-0.3552
TCGA-44-6776-01,-0.6192
TCGA-44-6777-01,0.1677
TCGA-44-6778-01,0.6714
TCGA-44-6779-01,-0.0887
TCGA-49-4487-01,-0.4403
TCGA-49-4490-01,-0.6533
TCGA-49-4512-01,-0.6204
TCGA-49-4514-01,-0.6583
TCGA-49-6742-01,-0.6029
TCGA-49-6743-01,-0.0588
TCGA-49-6744-01,-0.3930
TCGA-49-6745-01,3.0740
TCGA-49-6767-01,0.2285
TCGA-50-5044-01,0.3265
TCGA-50-5051-01,-0.6095
TCGA-50-5072-01,-0.4976
TCGA-50-6590-01,1.4212
TCGA-50-6595-01,1.5635
TCGA-50-6597-01,-0.6614
TCGA-55-6642-01,-0.4307
TCGA-55-6712-01,0.2828
TCGA-71-6725-01,-0.6047
TCGA-91-6828-01,-0.3018
TCGA-91-6829-01,-0.3566
TCGA-91-6831-01,-0.4173
TCGA-91-6835-01,0.0247
TCGA-91-6836-01,0.2458
TCGA-49-6761-01,0.7900
TCGA-50-6673-01,-0.5793
TCGA-55-6968-01,-0.1664
TCGA-55-6969-01,-0.3596
TCGA-55-6970-01,-0.2127
TCGA-55-6971-01,-0.0352
TCGA-55-6972-01,-0.6738
TCGA-55-6975-01,-0.6544
TCGA-55-6978-01,2.3718
TCGA-55-6979-01,0.6786
TCGA-55-6980-01,-0.3290
TCGA-55-6981-01,-0.3749
TCGA-55-6982-01,-0.3420
TCGA-55-6983-01,-0.5586
TCGA-55-6984-01,-0.5363
TCGA-55-6985-01,-0.2006
TCGA-55-6986-01,-0.4888
TCGA-55-6987-01,0.3860
TCGA-75-6214-01,-0.2893
TCGA-75-7025-01,-0.5543
TCGA-75-7027-01,-0.5973
TCGA-75-7030-01,-0.4858
TCGA-75-7031-01,-0.5268
TCGA-80-5607-01,-0.3948
TCGA-80-5608-01,-0.4496
TCGA-86-6851-01,0.0125
TCGA-91-6830-01,-0.3442
TCGA-91-6840-01,-0.5767
TCGA-91-6847-01,-0.5588
TCGA-91-6848-01,1.5537
TCGA-91-6849-01,-0.5902
TCGA-95-7039-01,-0.3238
TCGA-95-7043-01,-0.6608
TCGA-38-7271-01,-0.3373
TCGA-44-5644-01,-0.6636
TCGA-50-7109-01,-0.5905
TCGA-55-7227-01,-0.0036
TCGA-55-7281-01,-0.5698
TCGA-55-7283-01,-0.4983
TCGA-55-7570-01,-0.5905
TCGA-55-7573-01,-0.5031
TCGA-55-7574-01,-0.4871
TCGA-78-7143-01,-0.4278
TCGA-78-7145-01,-0.4193
TCGA-78-7146-01,-0.1895
TCGA-78-7147-01,-0.6277
TCGA-78-7148-01,-0.5902
TCGA-78-7149-01,-0.6771
TCGA-78-7150-01,-0.6123
TCGA-78-7152-01,-0.5958
TCGA-78-7153-01,-0.6800
TCGA-78-7154-01,-0.5772
TCGA-78-7155-01,-0.5883
TCGA-78-7156-01,-0.6659
TCGA-78-7158-01,-0.5476
TCGA-78-7159-01,-0.5495
TCGA-78-7160-01,-0.3479
TCGA-78-7161-01,-0.6452
TCGA-78-7220-01,-0.5295
TCGA-93-7348-01,-0.5639
TCGA-97-7546-01,0.0191
TCGA-97-7547-01,-0.4419
TCGA-97-7552-01,-0.1876
TCGA-97-7553-01,0.0445
TCGA-97-7554-01,1.5600
TCGA-99-7458-01,0.7516
TCGA-44-7659-01,-0.3963
TCGA-44-7660-01,-0.3695
TCGA-44-7661-01,3.7644
TCGA-44-7662-01,-0.0744
TCGA-44-7667-01,-0.5850
TCGA-44-7669-01,-0.2880
TCGA-44-7670-01,-0.5105
TCGA-44-7671-01,-0.6136
TCGA-44-7672-01,-0.0540
TCGA-53-7624-01,-0.0517
TCGA-53-7626-01,-0.3013
TCGA-55-7576-01,-0.4107
TCGA-64-1679-01,-0.2520
TCGA-64-1681-01,-0.5463
TCGA-78-7162-01,-0.5215
TCGA-78-7163-01,-0.4598
TCGA-78-7166-01,-0.5939
TCGA-78-7167-01,-0.6833
TCGA-78-7535-01,-0.5789
TCGA-78-7536-01,-0.5590
TCGA-78-7537-01,-0.6309
TCGA-78-7539-01,-0.3948
TCGA-78-7540-01,-0.5693
TCGA-78-7542-01,1.8260
TCGA-78-7633-01,-0.6145
TCGA-86-7711-01,-0.4239
TCGA-86-7713-01,-0.5471
TCGA-95-7567-01,-0.3070
TCGA-53-7813-01,-0.5802
TCGA-55-7724-01,-0.4314
TCGA-55-7725-01,-0.1612
TCGA-55-7726-01,-0.5569
TCGA-55-7727-01,-0.3723
TCGA-55-7815-01,-0.1681
TCGA-55-7816-01,-0.2375
TCGA-55-7903-01,0.2129
TCGA-55-7907-01,-0.4659
TCGA-55-7910-01,-0.5672
TCGA-55-7911-01,0.3273
TCGA-55-7914-01,-0.3475
TCGA-69-7760-01,-0.5823
TCGA-69-7761-01,-0.2281
TCGA-69-7763-01,-0.5149
TCGA-69-7764-01,-0.5338
TCGA-69-7765-01,-0.4156
TCGA-86-7701-01,-0.3566
TCGA-86-7714-01,-0.5903
TCGA-91-7771-01,-0.4192
TCGA-97-7937-01,-0.6258
TCGA-97-7938-01,-0.1932
TCGA-55-7728-01,-0.3395
TCGA-55-7994-01,2.9305
TCGA-55-7995-01,0.0039
TCGA-69-7973-01,-0.5337
TCGA-69-7974-01,1.0824
TCGA-69-7978-01,2.4487
TCGA-69-7979-01,-0.4525
TCGA-69-7980-01,-0.2341
